Spanish,English,Portuguese
"los lugares, la ciudad","the places, the city","os lugares, a cidade"
¿Dónde queda...?,Where is... located?,Onde fica...?
la calle,the street,a rua
la avenida,the avenue,a avenida
la plaza,the square,a praça
el parque,the park,o parque
ustedes,you all (formal),vocês
el,the (masculine singular),o
la,the (feminine singular),a
los,the (masculine plural),os
las,the (feminine plural),as
un,a / an (masculine),um
una,a / an (feminine),uma
unos,some (masculine),uns
unas,some (feminine),umas
"las preposiciones, la ubicación","the prepositions, the location","as preposições, a localização"
en,in / on / at,em
a,to,a
de,of / from,de
con,with,com
sin,without,sem
por,by / for / through,por
para,for / to,para
sobre,on / about,sobre
bajo,under,embaixo de
entre,between / among,entre
delante de,in front of,na frente de
detrás de,behind,atrás de
dentro de,inside of,dentro de
fuera de,outside of,fora de
al lado de,next to,ao lado de
encima de,on top of,em cima de
debajo de,under,debaixo de
los días de la semana,the days of the week,os dias da semana
lunes,Monday,segunda-feira
martes,Tuesday,terça-feira
miércoles,Wednesday,quarta-feira
jueves,Thursday,quinta-feira
viernes,Friday,sexta-feira
sábado,Saturday,sábado
domingo,Sunday,domingo
